SBI;Total Wage
A Landbouw, bosbouw en visserij;2313270300
B Delfstoffenwinning;173666400
C Industrie;13776483800
D Energievoorziening;328960800
E Waterbedrijven en afvalbeheer;397809000
F Bouwnijverheid;9782368000
G Handel;20019836000
H Vervoer en opslag;5327214900
I Horeca;5570717400
J Informatie en communicatie;8878318200
K Financiële dienstverlening;8399911200
L Verhuur en handel van onroerend goed;2089428500
M Specialistische zakelijke diensten;18950963700
N Verhuur en overige zakelijke diensten;6081639200
O Openbaar bestuur en overheidsdiensten;383671400
P Onderwijs;3021240600
Q Gezondheids- en welzijnszorg;8979168000
R Cultuur, sport en recreatie;2697995400
S Overige dienstverlening;3017212800
