ID;SBI;SBI_letter;Datum;Voorbeeldbedrijf;KVK;Ziekteverzyuim 2022;Ziekteverzuim 2023;Ziekteverzuim 2024;Gem. maandloon (excl. Overwerk);Gem. jaarloon (excl. Overwerk);Totale loonsom;Sectorgrootte;Man;Man-geb-datum;Vrouw;Vrouw-geb.datum;Aantal medewerkers;Gender dominance;Age dominance;Average age;Premie prijs_CB;Price_without_overhead;Estimated_SickLeave_CB;PriceCB from total wage;Premie prijs/pp_CB;UWV_Fixed_costs;UWV_Variable costs;Sickleave_new_model_C90;UWV_Premium_Price;UWV_Premium from Total wage;UWV_Premium_Price/PP;Difference_ABS;Difference_PP;Difference_%;Difference_Ziekteverzuim;Actuals_2024;Difference_Actuals_CB;Difference_actuals_UWV;Percentage_of_Total_Wage_UWV;Percentage_of_Total_Wage_CB;Difference_Percentage_Total_wage;Comeptitive;;;;;;;;
A Landbouw, bosbouw en visserij-2025Q1-1 tot 10 werkzame personen;A Landbouw, bosbouw en visserij;A;2025Q1;vof J.J.C. de Man;80496377;3,7;3,6;3,65; € 2.522 ; € 30.264 ; € 151.320 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 12.632,28 ; € 10.984,59 ;7,26%;8,35%; € 2.526,46 ;315;15%;1,93; € 3.672,49 ;2,43%; € 734,50 ; € -8.959,79 ; € -1.791,96 ;-71%;5,3%;3,5%;-3,8%;1,6%;2,4%;8,3%;70,9%;Yes;;;;;;;;
B Delfstoffenwinning-2025Q1-1 tot 10 werkzame personen;B Delfstoffenwinning;B;2025Q1;RGV Delfstoffen B.V.;08112449;4,7;4,8;4,75; € 6.393 ; € 76.716 ; € 383.580 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 26.403,96 ; € 22.959,97 ;5,99%;6,88%; € 5.280,79 ;315;15%;2,44; € 11.078,55 ;2,89%; € 2.215,71 ; € -15.325,41 ; € -3.065,08 ;-58%;3,5%;4,6%;-1,4%;2,2%;2,9%;6,9%;58,0%;Yes;;;;;;;;
C Industrie-2025Q1-1 tot 10 werkzame personen;C Industrie;C;2025Q1;Philips Nederland B.V.;17001910;6,5;6,1;6,3; € 4.093 ; € 49.116 ; € 245.580 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 10.392,12 ; € 9.036,63 ;3,68%;4,23%; € 2.078,42 ;315;15%;3,16; € 9.253,08 ;3,77%; € 1.850,62 ; € -1.139,04 ; € -227,81 ;-11%;0,5%;6,1%;2,4%;2,9%;3,8%;4,2%;11,0%;Yes;;;;;;;;
D Energievoorziening-2025Q1-1 tot 10 werkzame personen;D Energievoorziening;D;2025Q1;Essent N.V.;17115973;5;4,8;4,9; € 5.243 ; € 62.916 ; € 314.580 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 21.332,76 ; € 18.550,23 ;5,90%;6,78%; € 4.266,55 ;315;15%;2,45; € 9.180,25 ;2,92%; € 1.836,05 ; € -12.152,51 ; € -2.430,50 ;-57%;3,4%;4,7%;-1,2%;2,2%;2,9%;6,8%;57,0%;Yes;;;;;;;;
E Waterbedrijven en afvalbeheer-2025Q1-1 tot 10 werkzame personen;E Waterbedrijven en afvalbeheer;E;2025Q1;Vitens N.V.;5069581;6,7;6,3;6,5; € 3.934 ; € 47.208 ; € 236.040 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 19.233,24 ; € 16.724,56 ;7,09%;8,15%; € 3.846,65 ;315;15%;3,12; € 8.784,42 ;3,72%; € 1.756,88 ; € -10.448,82 ; € -2.089,76 ;-54%;4,0%;6,5%;-0,6%;3,4%;3,7%;8,1%;54,3%;Yes;;;;;;;;
F Bouwnijverheid-2025Q1-1 tot 10 werkzame personen;F Bouwnijverheid;F;2025Q1;BAM Groep nv;30058019;5,3;4,8;5,05; € 4.197 ; € 50.364 ; € 251.820 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 17.505,12 ; € 15.221,84 ;6,04%;6,95%; € 3.501,02 ;315;15%;2,22; € 6.744,07 ;2,68%; € 1.348,81 ; € -10.761,05 ; € -2.152,21 ;-61%;3,8%;4,6%;-1,4%;2,4%;2,7%;7,0%;61,5%;Yes;;;;;;;;
G Handel-2025Q1-1 tot 10 werkzame personen;G Handel;G;2025Q1;Ahold Delhaize;34166262;5;4,6;4,8; € 2.534 ; € 30.408 ; € 152.040 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 7.563,84 ; € 6.577,25 ;4,33%;4,97%; € 1.512,77 ;315;15%;2,51; € 4.695,14 ;3,09%; € 939,03 ; € -2.868,70 ; € -573,74 ;-38%;1,8%;4,6%;0,3%;2,1%;3,1%;5,0%;37,9%;Yes;;;;;;;;
H Vervoer en opslag-2025Q1-1 tot 10 werkzame personen;H Vervoer en opslag;H;2025Q1;KLM Royal Dutch Airlines;33014286;6,4;6,3;6,35; € 3.476 ; € 41.712 ; € 208.560 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 16.986,60 ; € 14.770,96 ;7,08%;8,14%; € 3.397,32 ;315;15%;3,16; € 7.895,79 ;3,79%; € 1.579,16 ; € -9.090,81 ; € -1.818,16 ;-54%;3,9%;6,2%;-0,9%;3,0%;3,8%;8,1%;53,5%;Yes;;;;;;;;
I Horeca-2025Q1-1 tot 10 werkzame personen;I Horeca;I;2025Q1;Van der Valk Hotels & Restaurants;61988243;4,7;3,9;4,3; € 1.401 ; € 16.812 ; € 84.060 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 7.449,96 ; € 6.478,23 ;7,71%;8,86%; € 1.489,99 ;315;15%;2,07; € 2.312,51 ;2,75%; € 462,50 ; € -5.137,45 ; € -1.027,49 ;-69%;5,6%;3,4%;-4,3%;1,3%;2,8%;8,9%;69,0%;Yes;;;;;;;;
J Informatie en communicatie-2025Q1-1 tot 10 werkzame personen;J Informatie en communicatie;J;2025Q1;KPN N.V.;2045200;3,9;3,9;3,9; € 4.813 ; € 57.756 ; € 288.780 ; 1 tot 10 werkzame personen ;4;1970;1;1980;5;Men;Old;53; € 15.074,52 ; € 13.108,28 ;4,54%;5,22%; € 3.014,90 ;315;15%;2,13; € 7.401,80 ;2,56%; € 1.480,36 ; € -7.672,72 ; € -1.534,54 ;-51%;2,4%;3,8%;-0,7%;1,7%;2,6%;5,2%;50,9%;Yes;;;;;;;;
