y_hat,y,error
6.5,6.9,-0.4
5.2,5.6,-0.39999999999999947
5.4,5.6,-0.1999999999999993
5.0,5.2,-0.20000000000000018
6.5,6.7,-0.20000000000000018
6.5,7.0,-0.5
8.6,8.9,-0.3000000000000007
6.0,5.4,0.5999999999999996
8.7,8.5,0.1999999999999993
5.8,5.3,0.5
7.9,7.7,0.20000000000000018
2.8,2.6,0.19999999999999973
8.1,7.1,1.0
7.8,7.0,0.7999999999999998
2.5,3.3,-0.7999999999999998
2.7,3.0,-0.2999999999999998
6.3,7.3,-1.0
5.5,5.4,0.09999999999999964
8.8,8.9,-0.09999999999999964
4.4,4.8,-0.39999999999999947
5.6,5.8,-0.20000000000000018
5.4,6.2,-0.7999999999999998
2.4,2.2,0.19999999999999973
3.7,3.7,0.0
4.4,3.7,0.7000000000000002
3.2,3.7,-0.5
7.3,8.2,-0.8999999999999995
5.2,5.1,0.10000000000000053
4.0,4.9,-0.9000000000000004
3.5,4.2,-0.7000000000000002
3.5,3.2,0.2999999999999998
8.6,7.9,0.6999999999999993
4.2,3.6,0.6000000000000001
2.8,3.2,-0.40000000000000036
6.3,6.3,0.0
2.5,3.2,-0.7000000000000002
7.5,7.1,0.40000000000000036
4.8,4.6,0.20000000000000018
8.4,8.9,-0.5
7.1,7.3,-0.20000000000000018
8.0,7.1,0.9000000000000004
5.1,4.3,0.7999999999999998
5.2,5.6,-0.39999999999999947
4.4,3.8,0.6000000000000005
2.3,3.1,-0.8000000000000003
6.6,6.4,0.1999999999999993
4.9,4.1,0.8000000000000007
4.4,3.9,0.5000000000000004
4.3,4.6,-0.2999999999999998
